payment_id,order_id,payment_date,payment_amount,payment_method
51,309,2022-02-07 02:00:00,462,Bank Transfer
52,130,2022-02-07 03:00:00,466,Credit Card
53,419,2022-02-07 04:00:00,365,PayPal
54,545,2022-02-07 05:00:00,266,Credit Card
55,789,2022-02-07 06:00:00,169,Credit Card
56,816,2022-02-07 07:00:00,488,PayPal
57,527,2022-02-07 08:00:00,443,PayPal
58,787,2022-02-07 09:00:00,224,PayPal
59,807,2022-02-07 10:00:00,72,PayPal
60,446,2022-02-07 11:00:00,262,Credit Card
61,699,2022-02-07 12:00:00,454,PayPal
62,461,2022-02-07 13:00:00,284,PayPal
63,908,2022-02-07 14:00:00,62,Bank Transfer
64,972,2022-02-07 15:00:00,150,PayPal
65,646,2022-02-07 16:00:00,466,PayPal
66,737,2022-02-07 17:00:00,73,Bank Transfer
67,677,2022-02-07 18:00:00,413,Bank Transfer
68,899,2022-02-07 19:00:00,60,Credit Card
69,691,2022-02-07 20:00:00,322,Bank Transfer
70,263,2022-02-07 21:00:00,480,Credit Card
71,88,2022-02-07 22:00:00,330,Bank Transfer
72,955,2022-02-07 23:00:00,143,Bank Transfer
73,3,2022-02-08 00:00:00,250,Credit Card
74,411,2022-02-08 01:00:00,70,Bank Transfer
75,416,2022-02-08 02:00:00,389,Credit Card
76,181,2022-02-08 03:00:00,260,Bank Transfer
77,440,2022-02-08 04:00:00,189,PayPal
78,187,2022-02-08 05:00:00,342,Bank Transfer
79,34,2022-02-08 06:00:00,347,Credit Card
80,9,2022-02-08 07:00:00,450,Bank Transfer
81,835,2022-02-08 08:00:00,150,Credit Card
82,300,2022-02-08 09:00:00,353,Credit Card
83,829,2022-02-08 10:00:00,408,PayPal
84,793,2022-02-08 11:00:00,77,PayPal
85,687,2022-02-08 12:00:00,90,Credit Card
86,274,2022-02-08 13:00:00,404,Bank Transfer
87,150,2022-02-08 14:00:00,352,Credit Card
88,897,2022-02-08 15:00:00,195,Credit Card
89,282,2022-02-08 16:00:00,305,Bank Transfer
90,412,2022-02-08 17:00:00,276,Bank Transfer
91,217,2022-02-08 18:00:00,285,Bank Transfer
92,95,2022-02-08 19:00:00,410,Bank Transfer
93,475,2022-02-08 20:00:00,429,Credit Card
94,535,2022-02-08 21:00:00,62,Credit Card
95,249,2022-02-08 22:00:00,259,PayPal
96,25,2022-02-08 23:00:00,278,Credit Card
97,36,2022-02-09 00:00:00,446,Bank Transfer
98,814,2022-02-09 01:00:00,149,PayPal
99,644,2022-02-09 02:00:00,80,Bank Transfer
100,280,2022-02-09 03:00:00,435,Credit Card
101,110,2022-02-09 04:00:00,65,PayPal
102,71,2022-02-09 05:00:00,186,Bank Transfer
103,769,2022-02-09 06:00:00,378,PayPal
104,185,2022-02-09 07:00:00,215,PayPal
105,926,2022-02-09 08:00:00,359,Credit Card
106,720,2022-02-09 09:00:00,489,Bank Transfer
107,171,2022-02-09 10:00:00,149,PayPal
108,94,2022-02-09 11:00:00,158,PayPal
109,719,2022-02-09 12:00:00,392,Bank Transfer
110,682,2022-02-09 13:00:00,222,PayPal
111,278,2022-02-09 14:00:00,286,PayPal
112,671,2022-02-09 15:00:00,211,PayPal
113,200,2022-02-09 16:00:00,442,Bank Transfer
114,290,2022-02-09 17:00:00,265,Bank Transfer
115,917,2022-02-09 18:00:00,313,Bank Transfer
116,578,2022-02-09 19:00:00,312,Bank Transfer
117,80,2022-02-09 20:00:00,341,Credit Card
118,208,2022-02-09 21:00:00,323,PayPal
119,749,2022-02-09 22:00:00,52,Bank Transfer
120,488,2022-02-09 23:00:00,77,PayPal
121,976,2022-02-10 00:00:00,375,PayPal
122,609,2022-02-10 01:00:00,477,Credit Card
123,133,2022-02-10 02:00:00,198,Bank Transfer
124,410,2022-02-10 03:00:00,77,Bank Transfer
125,522,2022-02-10 04:00:00,359,PayPal
126,895,2022-02-10 05:00:00,487,Bank Transfer
127,230,2022-02-10 06:00:00,114,PayPal
128,850,2022-02-10 07:00:00,405,PayPal
129,114,2022-02-10 08:00:00,70,Credit Card
130,688,2022-02-10 09:00:00,301,Credit Card
131,966,2022-02-10 10:00:00,284,Credit Card
132,786,2022-02-10 11:00:00,276,PayPal
133,607,2022-02-10 12:00:00,62,Bank Transfer
134,744,2022-02-10 13:00:00,362,Credit Card
135,585,2022-02-10 14:00:00,98,Bank Transfer
136,732,2022-02-10 15:00:00,167,Credit Card
137,706,2022-02-10 16:00:00,103,Credit Card
138,345,2022-02-10 17:00:00,187,PayPal
139,834,2022-02-10 18:00:00,102,Credit Card
140,315,2022-02-10 19:00:00,93,Credit Card
141,746,2022-02-10 20:00:00,352,PayPal
142,370,2022-02-10 21:00:00,102,Bank Transfer
143,298,2022-02-10 22:00:00,123,Credit Card
144,499,2022-02-10 23:00:00,95,PayPal
145,808,2022-02-11 00:00:00,62,Credit Card
146,135,2022-02-11 01:00:00,214,PayPal
147,4,2022-02-11 02:00:00,151,Bank Transfer
148,669,2022-02-11 03:00:00,329,Bank Transfer
149,1000,2022-02-11 04:00:00,307,PayPal
150,256,2022-02-11 05:00:00,386,PayPal
151,151,2022-02-11 06:00:00,405,PayPal
152,264,2022-02-11 07:00:00,447,Bank Transfer
153,647,2022-02-11 08:00:00,187,Credit Card
154,797,2022-02-11 09:00:00,212,Bank Transfer
155,96,2022-02-11 10:00:00,458,PayPal
156,52,2022-02-11 11:00:00,436,PayPal
157,373,2022-02-11 12:00:00,160,Bank Transfer
158,790,2022-02-11 13:00:00,151,PayPal
159,979,2022-02-11 14:00:00,66,Bank Transfer
160,674,2022-02-11 15:00:00,317,PayPal
161,659,2022-02-11 16:00:00,231,Credit Card
162,800,2022-02-11 17:00:00,421,Credit Card
163,776,2022-02-11 18:00:00,73,PayPal
164,957,2022-02-11 19:00:00,78,Bank Transfer
165,608,2022-02-11 20:00:00,220,Credit Card
166,920,2022-02-11 21:00:00,458,Bank Transfer
167,385,2022-02-11 22:00:00,277,PayPal
168,293,2022-02-11 23:00:00,427,Bank Transfer
169,503,2022-02-12 00:00:00,237,Credit Card
170,140,2022-02-12 01:00:00,395,Bank Transfer
171,464,2022-02-12 02:00:00,279,Bank Transfer
172,54,2022-02-12 03:00:00,370,PayPal
173,11,2022-02-12 04:00:00,389,PayPal
174,242,2022-02-12 05:00:00,168,PayPal
175,321,2022-02-12 06:00:00,205,Credit Card
176,91,2022-02-12 07:00:00,321,Credit Card
177,271,2022-02-12 08:00:00,224,PayPal
178,346,2022-02-12 09:00:00,153,PayPal
179,867,2022-02-12 10:00:00,141,Credit Card
180,739,2022-02-12 11:00:00,235,Credit Card
181,246,2022-02-12 12:00:00,332,Credit Card
182,396,2022-02-12 13:00:00,230,Credit Card
183,5,2022-02-12 14:00:00,219,PayPal
184,502,2022-02-12 15:00:00,236,Credit Card
185,453,2022-02-12 16:00:00,224,PayPal
186,803,2022-02-12 17:00:00,271,Bank Transfer
187,568,2022-02-12 18:00:00,282,Bank Transfer
188,775,2022-02-12 19:00:00,211,Credit Card
189,152,2022-02-12 20:00:00,470,Bank Transfer
190,657,2022-02-12 21:00:00,183,Bank Transfer
191,360,2022-02-12 22:00:00,440,Bank Transfer
192,299,2022-02-12 23:00:00,273,Credit Card
193,390,2022-02-13 00:00:00,202,Credit Card
194,433,2022-02-13 01:00:00,82,Bank Transfer
195,206,2022-02-13 02:00:00,104,PayPal
196,944,2022-02-13 03:00:00,491,Bank Transfer
197,996,2022-02-13 04:00:00,56,Credit Card
198,498,2022-02-13 05:00:00,293,Credit Card
199,774,2022-02-13 06:00:00,362,Credit Card
200,24,2022-02-13 07:00:00,175,Bank Transfer
201,570,2022-02-13 08:00:00,61,PayPal
202,92,2022-02-13 09:00:00,65,Credit Card
203,954,2022-02-13 10:00:00,257,Credit Card
204,252,2022-02-13 11:00:00,92,Bank Transfer
205,605,2022-02-13 12:00:00,422,PayPal
206,139,2022-02-13 13:00:00,184,Bank Transfer
207,733,2022-02-13 14:00:00,277,Credit Card
208,467,2022-02-13 15:00:00,160,PayPal
209,675,2022-02-13 16:00:00,356,PayPal
210,359,2022-02-13 17:00:00,209,Credit Card
211,85,2022-02-13 18:00:00,380,PayPal
212,316,2022-02-13 19:00:00,313,PayPal
213,306,2022-02-13 20:00:00,274,Bank Transfer
214,910,2022-02-13 21:00:00,266,Credit Card
215,717,2022-02-13 22:00:00,94,Credit Card
216,42,2022-02-13 23:00:00,263,Credit Card
217,928,2022-02-14 00:00:00,108,Credit Card
218,462,2022-02-14 01:00:00,181,Credit Card
219,244,2022-02-14 02:00:00,153,PayPal
220,123,2022-02-14 03:00:00,244,Bank Transfer
221,53,2022-02-14 04:00:00,462,Credit Card
222,712,2022-02-14 05:00:00,206,Bank Transfer
223,654,2022-02-14 06:00:00,147,Bank Transfer
224,986,2022-02-14 07:00:00,275,PayPal
225,496,2022-02-14 08:00:00,461,Credit Card
226,471,2022-02-14 09:00:00,254,PayPal
227,761,2022-02-14 10:00:00,128,Credit Card
228,69,2022-02-14 11:00:00,173,PayPal
229,642,2022-02-14 12:00:00,477,Bank Transfer
230,721,2022-02-14 13:00:00,267,Credit Card
231,982,2022-02-14 14:00:00,53,Bank Transfer
232,413,2022-02-14 15:00:00,139,Bank Transfer
233,145,2022-02-14 16:00:00,153,PayPal
234,991,2022-02-14 17:00:00,442,Credit Card
235,694,2022-02-14 18:00:00,168,Bank Transfer
236,651,2022-02-14 19:00:00,182,PayPal
237,77,2022-02-14 20:00:00,361,Credit Card
238,29,2022-02-14 21:00:00,145,Credit Card
239,409,2022-02-14 22:00:00,483,Bank Transfer
240,538,2022-02-14 23:00:00,380,Credit Card
241,18,2022-02-15 00:00:00,192,Bank Transfer
242,392,2022-02-15 01:00:00,337,Credit Card
243,134,2022-02-15 02:00:00,77,PayPal
244,555,2022-02-15 03:00:00,327,Bank Transfer
245,978,2022-02-15 04:00:00,282,Bank Transfer
246,942,2022-02-15 05:00:00,66,Credit Card
247,576,2022-02-15 06:00:00,108,Credit Card
248,253,2022-02-15 07:00:00,139,Bank Transfer
249,493,2022-02-15 08:00:00,248,Credit Card
250,804,2022-02-15 09:00:00,411,PayPal
251,665,2022-02-15 10:00:00,490,Credit Card
252,997,2022-02-15 11:00:00,75,PayPal
253,170,2022-02-15 12:00:00,74,PayPal
254,317,2022-02-15 13:00:00,443,PayPal
255,403,2022-02-15 14:00:00,350,PayPal
256,339,2022-02-15 15:00:00,388,PayPal
257,125,2022-02-15 16:00:00,316,Credit Card
258,329,2022-02-15 17:00:00,230,PayPal
259,961,2022-02-15 18:00:00,409,Credit Card
260,322,2022-02-15 19:00:00,117,PayPal
261,636,2022-02-15 20:00:00,400,Bank Transfer
262,456,2022-02-15 21:00:00,461,PayPal
263,914,2022-02-15 22:00:00,370,Bank Transfer
264,287,2022-02-15 23:00:00,98,PayPal
265,452,2022-02-16 00:00:00,224,PayPal
266,358,2022-02-16 01:00:00,101,PayPal
267,31,2022-02-16 02:00:00,151,Bank Transfer
268,204,2022-02-16 03:00:00,265,Bank Transfer
269,116,2022-02-16 04:00:00,487,PayPal
270,949,2022-02-16 05:00:00,237,Credit Card
271,534,2022-02-16 06:00:00,106,PayPal
272,126,2022-02-16 07:00:00,96,Bank Transfer
273,523,2022-02-16 08:00:00,208,PayPal
274,463,2022-02-16 09:00:00,223,Bank Transfer
275,770,2022-02-16 10:00:00,291,Bank Transfer
276,600,2022-02-16 11:00:00,331,Bank Transfer
277,193,2022-02-16 12:00:00,290,PayPal
278,56,2022-02-16 13:00:00,419,Bank Transfer
279,640,2022-02-16 14:00:00,54,Bank Transfer
280,7,2022-02-16 15:00:00,133,PayPal
281,292,2022-02-16 16:00:00,357,Bank Transfer
282,167,2022-02-16 17:00:00,410,PayPal
283,100,2022-02-16 18:00:00,297,Bank Transfer
284,328,2022-02-16 19:00:00,103,Credit Card
285,160,2022-02-16 20:00:00,210,Credit Card
286,48,2022-02-16 21:00:00,483,Bank Transfer
287,589,2022-02-16 22:00:00,471,Credit Card
288,23,2022-02-16 23:00:00,460,PayPal
289,622,2022-02-17 00:00:00,275,Credit Card
290,352,2022-02-17 01:00:00,64,Bank Transfer
291,497,2022-02-17 02:00:00,273,Bank Transfer
292,580,2022-02-17 03:00:00,110,PayPal
293,195,2022-02-17 04:00:00,171,Bank Transfer
294,288,2022-02-17 05:00:00,326,PayPal
295,864,2022-02-17 06:00:00,95,Credit Card
296,30,2022-02-17 07:00:00,439,Credit Card
297,122,2022-02-17 08:00:00,343,PayPal
298,903,2022-02-17 09:00:00,111,PayPal
299,99,2022-02-17 10:00:00,135,Bank Transfer
300,351,2022-02-17 11:00:00,495,Credit Card
301,107,2022-02-17 12:00:00,259,PayPal
302,388,2022-02-17 13:00:00,127,Credit Card
303,540,2022-02-17 14:00:00,251,PayPal
304,709,2022-02-17 15:00:00,351,Credit Card
305,676,2022-02-17 16:00:00,446,Bank Transfer
306,223,2022-02-17 17:00:00,272,Credit Card
307,458,2022-02-17 18:00:00,271,Credit Card
308,415,2022-02-17 19:00:00,52,Credit Card
309,777,2022-02-17 20:00:00,55,Credit Card
310,692,2022-02-17 21:00:00,142,Credit Card
311,714,2022-02-17 22:00:00,57,Bank Transfer
312,565,2022-02-17 23:00:00,477,PayPal
313,235,2022-02-18 00:00:00,284,Credit Card
314,368,2022-02-18 01:00:00,157,Bank Transfer
315,81,2022-02-18 02:00:00,210,Credit Card
316,337,2022-02-18 03:00:00,258,Credit Card
317,296,2022-02-18 04:00:00,289,PayPal
318,166,2022-02-18 05:00:00,380,Credit Card
319,428,2022-02-18 06:00:00,382,Bank Transfer
320,2,2022-02-18 07:00:00,99,Bank Transfer
321,886,2022-02-18 08:00:00,60,PayPal
322,155,2022-02-18 09:00:00,400,Credit Card
323,389,2022-02-18 10:00:00,205,Bank Transfer
324,649,2022-02-18 11:00:00,119,Credit Card
325,689,2022-02-18 12:00:00,218,Credit Card
326,697,2022-02-18 13:00:00,321,Credit Card
327,495,2022-02-18 14:00:00,117,PayPal
328,865,2022-02-18 15:00:00,404,Credit Card
329,51,2022-02-18 16:00:00,301,Bank Transfer
330,479,2022-02-18 17:00:00,97,Credit Card
331,266,2022-02-18 18:00:00,233,Bank Transfer
332,331,2022-02-18 19:00:00,369,Credit Card
333,707,2022-02-18 20:00:00,236,Bank Transfer
334,925,2022-02-18 21:00:00,139,Bank Transfer
335,105,2022-02-18 22:00:00,495,Credit Card
336,285,2022-02-18 23:00:00,381,Credit Card
337,258,2022-02-19 00:00:00,188,Bank Transfer
338,751,2022-02-19 01:00:00,406,PayPal
339,624,2022-02-19 02:00:00,138,Credit Card
340,705,2022-02-19 03:00:00,323,PayPal
341,858,2022-02-19 04:00:00,68,Credit Card
342,225,2022-02-19 05:00:00,360,Credit Card
343,927,2022-02-19 06:00:00,407,Credit Card
344,84,2022-02-19 07:00:00,423,Credit Card
345,239,2022-02-19 08:00:00,203,PayPal
346,802,2022-02-19 09:00:00,439,Credit Card
347,758,2022-02-19 10:00:00,309,Bank Transfer
348,378,2022-02-19 11:00:00,157,Bank Transfer
349,748,2022-02-19 12:00:00,420,PayPal
350,764,2022-02-19 13:00:00,334,Credit Card
351,980,2022-02-19 14:00:00,108,Bank Transfer
352,591,2022-02-19 15:00:00,174,PayPal
353,420,2022-02-19 16:00:00,403,Credit Card
354,175,2022-02-19 17:00:00,322,Bank Transfer
355,953,2022-02-19 18:00:00,156,Bank Transfer
356,215,2022-02-19 19:00:00,348,PayPal
357,512,2022-02-19 20:00:00,294,Credit Card
358,788,2022-02-19 21:00:00,385,Credit Card
359,913,2022-02-19 22:00:00,499,Bank Transfer
360,448,2022-02-19 23:00:00,467,Bank Transfer
361,684,2022-02-20 00:00:00,296,Bank Transfer
362,663,2022-02-20 01:00:00,57,Credit Card
363,782,2022-02-20 02:00:00,190,PayPal
364,103,2022-02-20 03:00:00,411,PayPal
365,459,2022-02-20 04:00:00,57,Credit Card
366,484,2022-02-20 05:00:00,401,PayPal
367,240,2022-02-20 06:00:00,143,Bank Transfer
368,715,2022-02-20 07:00:00,370,PayPal
369,673,2022-02-20 08:00:00,476,PayPal
370,444,2022-02-20 09:00:00,88,PayPal
371,487,2022-02-20 10:00:00,130,Bank Transfer
372,883,2022-02-20 11:00:00,236,Credit Card
373,108,2022-02-20 12:00:00,133,Bank Transfer
374,168,2022-02-20 13:00:00,137,Credit Card
375,794,2022-02-20 14:00:00,291,Credit Card
376,45,2022-02-20 15:00:00,391,Credit Card
377,46,2022-02-20 16:00:00,142,PayPal
378,518,2022-02-20 17:00:00,135,PayPal
379,333,2022-02-20 18:00:00,93,Credit Card
380,977,2022-02-20 19:00:00,186,Credit Card
381,509,2022-02-20 20:00:00,470,PayPal
382,402,2022-02-20 21:00:00,123,Bank Transfer
383,39,2022-02-20 22:00:00,85,Credit Card
384,701,2022-02-20 23:00:00,150,Bank Transfer
385,989,2022-02-21 00:00:00,205,PayPal
386,59,2022-02-21 01:00:00,475,Credit Card
387,466,2022-02-21 02:00:00,304,Bank Transfer
388,947,2022-02-21 03:00:00,220,Bank Transfer
389,394,2022-02-21 04:00:00,265,Bank Transfer
390,17,2022-02-21 05:00:00,219,PayPal
391,521,2022-02-21 06:00:00,301,PayPal
392,753,2022-02-21 07:00:00,409,Bank Transfer
393,37,2022-02-21 08:00:00,371,Bank Transfer
394,836,2022-02-21 09:00:00,104,PayPal
395,528,2022-02-21 10:00:00,481,Bank Transfer
396,233,2022-02-21 11:00:00,140,Bank Transfer
397,791,2022-02-21 12:00:00,327,PayPal
398,310,2022-02-21 13:00:00,150,Bank Transfer
399,363,2022-02-21 14:00:00,204,Bank Transfer
400,106,2022-02-21 15:00:00,426,Bank Transfer
401,318,2022-02-21 16:00:00,398,PayPal
402,192,2022-02-21 17:00:00,413,Bank Transfer
403,245,2022-02-21 18:00:00,190,PayPal
404,341,2022-02-21 19:00:00,222,PayPal
405,818,2022-02-21 20:00:00,59,Credit Card
406,90,2022-02-21 21:00:00,277,Credit Card
407,620,2022-02-21 22:00:00,314,Bank Transfer
408,430,2022-02-21 23:00:00,487,PayPal
409,404,2022-02-22 00:00:00,297,Credit Card
410,734,2022-02-22 01:00:00,296,Bank Transfer
411,489,2022-02-22 02:00:00,204,Credit Card
412,783,2022-02-22 03:00:00,83,Credit Card
413,369,2022-02-22 04:00:00,178,PayPal
414,958,2022-02-22 05:00:00,209,PayPal
415,828,2022-02-22 06:00:00,138,Credit Card
416,189,2022-02-22 07:00:00,142,Credit Card
417,141,2022-02-22 08:00:00,376,PayPal
418,754,2022-02-22 09:00:00,290,Bank Transfer
419,312,2022-02-22 10:00:00,372,PayPal
420,340,2022-02-22 11:00:00,453,Credit Card
421,237,2022-02-22 12:00:00,166,Bank Transfer
422,291,2022-02-22 13:00:00,143,Credit Card
423,552,2022-02-22 14:00:00,212,Bank Transfer
424,875,2022-02-22 15:00:00,148,Credit Card
425,355,2022-02-22 16:00:00,162,Bank Transfer
426,241,2022-02-22 17:00:00,408,Bank Transfer
427,631,2022-02-22 18:00:00,140,Credit Card
428,470,2022-02-22 19:00:00,395,Bank Transfer
429,994,2022-02-22 20:00:00,255,PayPal
430,380,2022-02-22 21:00:00,66,Credit Card
431,995,2022-02-22 22:00:00,323,PayPal
432,648,2022-02-22 23:00:00,222,Credit Card
433,662,2022-02-23 00:00:00,165,Bank Transfer
434,781,2022-02-23 01:00:00,398,Bank Transfer
435,511,2022-02-23 02:00:00,230,Bank Transfer
436,61,2022-02-23 03:00:00,140,Credit Card
437,564,2022-02-23 04:00:00,131,PayPal
438,560,2022-02-23 05:00:00,373,PayPal
439,153,2022-02-23 06:00:00,498,Credit Card
440,695,2022-02-23 07:00:00,163,Credit Card
441,262,2022-02-23 08:00:00,306,PayPal
442,422,2022-02-23 09:00:00,107,PayPal
443,87,2022-02-23 10:00:00,203,PayPal
444,661,2022-02-23 11:00:00,414,PayPal
445,257,2022-02-23 12:00:00,453,Credit Card
446,474,2022-02-23 13:00:00,165,Credit Card
447,439,2022-02-23 14:00:00,392,Bank Transfer
448,347,2022-02-23 15:00:00,315,PayPal
449,778,2022-02-23 16:00:00,364,Bank Transfer
450,194,2022-02-23 17:00:00,252,Credit Card
451,799,2022-02-23 18:00:00,90,Credit Card
452,67,2022-02-23 19:00:00,154,Bank Transfer
453,429,2022-02-23 20:00:00,438,PayPal
454,478,2022-02-23 21:00:00,427,PayPal
455,846,2022-02-23 22:00:00,242,PayPal
456,627,2022-02-23 23:00:00,450,PayPal
457,946,2022-02-24 00:00:00,327,Bank Transfer
458,348,2022-02-24 01:00:00,403,Bank Transfer
459,455,2022-02-24 02:00:00,286,Credit Card
460,311,2022-02-24 03:00:00,474,PayPal
461,968,2022-02-24 04:00:00,270,PayPal
462,179,2022-02-24 05:00:00,117,PayPal
463,157,2022-02-24 06:00:00,246,Bank Transfer
464,845,2022-02-24 07:00:00,305,PayPal
465,924,2022-02-24 08:00:00,188,Bank Transfer
466,592,2022-02-24 09:00:00,361,PayPal
467,759,2022-02-24 10:00:00,484,PayPal
468,232,2022-02-24 11:00:00,198,Credit Card
469,892,2022-02-24 12:00:00,148,PayPal
470,93,2022-02-24 13:00:00,125,PayPal
471,308,2022-02-24 14:00:00,331,Credit Card
472,881,2022-02-24 15:00:00,420,Bank Transfer
473,147,2022-02-24 16:00:00,452,Bank Transfer
474,361,2022-02-24 17:00:00,158,PayPal
475,15,2022-02-24 18:00:00,237,Bank Transfer
476,579,2022-02-24 19:00:00,248,PayPal
477,174,2022-02-24 20:00:00,352,Credit Card
478,889,2022-02-24 21:00:00,376,Credit Card
479,438,2022-02-24 22:00:00,203,PayPal
480,332,2022-02-24 23:00:00,89,Credit Card
481,935,2022-02-25 00:00:00,182,Credit Card
482,431,2022-02-25 01:00:00,454,PayPal
483,343,2022-02-25 02:00:00,181,PayPal
484,301,2022-02-25 03:00:00,328,Credit Card
485,668,2022-02-25 04:00:00,411,Bank Transfer
486,65,2022-02-25 05:00:00,133,Bank Transfer
487,480,2022-02-25 06:00:00,448,PayPal
488,216,2022-02-25 07:00:00,291,PayPal
489,482,2022-02-25 08:00:00,165,Bank Transfer
490,530,2022-02-25 09:00:00,158,Credit Card
491,510,2022-02-25 10:00:00,270,Bank Transfer
492,324,2022-02-25 11:00:00,441,Bank Transfer
493,562,2022-02-25 12:00:00,90,Bank Transfer
494,750,2022-02-25 13:00:00,417,Bank Transfer
495,724,2022-02-25 14:00:00,196,PayPal
496,595,2022-02-25 15:00:00,161,PayPal
497,172,2022-02-25 16:00:00,152,Credit Card
498,451,2022-02-25 17:00:00,95,Credit Card
499,357,2022-02-25 18:00:00,461,Credit Card
500,276,2022-02-25 19:00:00,373,Credit Card
501,304,2022-02-25 20:00:00,427,Bank Transfer
502,325,2022-02-25 21:00:00,320,PayPal
503,149,2022-02-25 22:00:00,470,PayPal
504,723,2022-02-25 23:00:00,434,Credit Card
505,929,2022-02-26 00:00:00,244,Credit Card
506,842,2022-02-26 01:00:00,416,Bank Transfer
507,727,2022-02-26 02:00:00,329,Bank Transfer
508,64,2022-02-26 03:00:00,332,Credit Card
509,267,2022-02-26 04:00:00,89,PayPal
510,35,2022-02-26 05:00:00,496,PayPal
511,652,2022-02-26 06:00:00,238,PayPal
512,158,2022-02-26 07:00:00,213,Credit Card
513,882,2022-02-26 08:00:00,73,PayPal
514,62,2022-02-26 09:00:00,73,Bank Transfer
515,615,2022-02-26 10:00:00,53,Bank Transfer
516,634,2022-02-26 11:00:00,372,Credit Card
517,255,2022-02-26 12:00:00,339,Bank Transfer
518,127,2022-02-26 13:00:00,490,Credit Card
519,722,2022-02-26 14:00:00,482,PayPal
520,785,2022-02-26 15:00:00,230,PayPal
521,880,2022-02-26 16:00:00,297,PayPal
522,222,2022-02-26 17:00:00,165,Bank Transfer
523,334,2022-02-26 18:00:00,328,Credit Card
524,841,2022-02-26 19:00:00,414,PayPal
525,89,2022-02-26 20:00:00,118,Credit Card
526,693,2022-02-26 21:00:00,400,PayPal
527,320,2022-02-26 22:00:00,303,Bank Transfer
528,614,2022-02-26 23:00:00,230,Bank Transfer
529,286,2022-02-27 00:00:00,367,Credit Card
530,465,2022-02-27 01:00:00,218,Bank Transfer
531,952,2022-02-27 02:00:00,362,Bank Transfer
532,120,2022-02-27 03:00:00,298,Credit Card
533,398,2022-02-27 04:00:00,237,PayPal
534,667,2022-02-27 05:00:00,103,Bank Transfer
535,375,2022-02-27 06:00:00,375,Credit Card
536,73,2022-02-27 07:00:00,406,Bank Transfer
537,63,2022-02-27 08:00:00,362,Bank Transfer
538,819,2022-02-27 09:00:00,187,Bank Transfer
539,173,2022-02-27 10:00:00,217,Bank Transfer
540,284,2022-02-27 11:00:00,440,Credit Card
541,275,2022-02-27 12:00:00,152,Credit Card
542,904,2022-02-27 13:00:00,471,Credit Card
543,83,2022-02-27 14:00:00,134,Bank Transfer
544,909,2022-02-27 15:00:00,366,Bank Transfer
545,795,2022-02-27 16:00:00,261,Bank Transfer
546,424,2022-02-27 17:00:00,52,Credit Card
547,999,2022-02-27 18:00:00,433,Bank Transfer
548,507,2022-02-27 19:00:00,228,PayPal
549,905,2022-02-27 20:00:00,391,Bank Transfer
550,981,2022-02-27 21:00:00,352,PayPal
